index,Fund,Acct-Type,Acct-Div,Acct-Dept,Summ-Acct,GL-Account,2019-Actual,2020-Actual,2021-Budget,2022-Recommend,2023-Forecast
313,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,50000: Total PERSONNEL SALARIES,VACATION,11279,9633,0,0,0
314,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,50000: Total PERSONNEL SALARIES,HOLIDAY,9846,11997,0,0,0
315,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,50000: Total PERSONNEL SALARIES,LONGEVITY,5926,6165,6736,12887,13016
316,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,1436,1575,2280,2280,2280
317,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,44225,61136,76542,63708,67040
318,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,11337,15496,22403,23457,23692
319,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,22509,25711,32678,37812,38568
320,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,52100: Total G&A SERVICES,FEES NOT CLASSIFIED,0,0,0,5472,5510
321,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,52100: Total G&A SERVICES,DUES & SUBSCRIPTIONS,258,165,700,1200,1208
322,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,52100: Total G&A SERVICES,PRINTING,0,0,0,3500,3525
323,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,53100: Total TRAVEL & ENTERTAINMENT,TRANSPORTATION OF PERSONS-TRAINING,500,2997,4600,4600,4600
324,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,53200: Total PROFESSIONAL FEES,AUDIT,249075,203426,335565,305000,305000
325,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,53500: Total OTHER SERVICES,MISC. EXPENSES,12182,8756,52500,52500,52868
326,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,54000: Total OFFICE SUPPLIES,OFFICE SUPPLIES,0,0,0,600,604
327,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,54000: Total OFFICE SUPPLIES,STATIONERY,484,97,420,200,201
328,101: City General,EXPENSES,City Council,101-911: Office of the Internal Auditor,54700: Total OTHER SUPPLY,MISCELLANEOUS MATERIALS AND SUPPLIES,0,489,700,400,403
329,101: City General,EXPENSES,City Council,101-913: Archives,50000: Total PERSONNEL SALARIES,SALARIES,165657,188761,214352,235311,237664
330,101: City General,EXPENSES,City Council,101-913: Archives,50000: Total PERSONNEL SALARIES,SALARIES-TEMPORARIES,0,1210,36000,36000,36000
331,101: City General,EXPENSES,City Council,101-913: Archives,50000: Total PERSONNEL SALARIES,SICK LEAVE,2581,3289,0,0,0
332,101: City General,EXPENSES,City Council,101-913: Archives,50000: Total PERSONNEL SALARIES,VACATION,4500,4846,0,0,0
333,101: City General,EXPENSES,City Council,101-913: Archives,50000: Total PERSONNEL SALARIES,HOLIDAY,11572,12205,0,0,0
334,101: City General,EXPENSES,City Council,101-913: Archives,50000: Total PERSONNEL SALARIES,LONGEVITY,0,0,0,2050,2071
335,101: City General,EXPENSES,City Council,101-913: Archives,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,3436,3372,3708,3708,3708
336,101: City General,EXPENSES,City Council,101-913: Archives,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,53164,60870,60287,63420,66737
337,101: City General,EXPENSES,City Council,101-913: Archives,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,13447,15375,19995,20911,21120
338,101: City General,EXPENSES,City Council,101-913: Archives,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,39497,40320,51241,59304,60490
339,101: City General,EXPENSES,City Council,101-913: Archives,52100: Total G&A SERVICES,POSTAGE,3,23,240,240,240
340,101: City General,EXPENSES,City Council,101-913: Archives,52100: Total G&A SERVICES,DUES & SUBSCRIPTIONS,1032,828,1800,1800,1813
341,101: City General,EXPENSES,City Council,101-913: Archives,52100: Total G&A SERVICES,PRINTING,0,550,1200,1200,1208
342,101: City General,EXPENSES,City Council,101-913: Archives,52860: Total FURNITURE AND FIXTURES,OFFICE FURNITURE,39,2000,0,0,0
343,101: City General,EXPENSES,City Council,101-913: Archives,53100: Total TRAVEL & ENTERTAINMENT,TRANSPORTATION OF PERSONS-TRAINING,0,0,0,2500,2500
344,101: City General,EXPENSES,City Council,101-913: Archives,53500: Total OTHER SERVICES,MISC. EXPENSES,189291,110386,132000,112000,112784
345,101: City General,EXPENSES,City Council,101-913: Archives,54000: Total OFFICE SUPPLIES,OFFICE SUPPLIES,0,0,0,1500,1511
346,101: City General,EXPENSES,City Council,101-913: Archives,54000: Total OFFICE SUPPLIES,STATIONERY,2035,4586,3360,500,504
347,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,50000: Total PERSONNEL SALARIES,SALARIES,144019,117520,148863,179705,181502
348,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,50000: Total PERSONNEL SALARIES,OVERTIME,1957,128,0,1000,1000
349,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,50000: Total PERSONNEL SALARIES,SICK LEAVE,6187,6253,0,0,0
350,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,50000: Total PERSONNEL SALARIES,VACATION,17054,6443,0,0,0
351,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,50000: Total PERSONNEL SALARIES,HOLIDAY,12014,8378,0,0,0
352,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,50000: Total PERSONNEL SALARIES,LONGEVITY,6854,5577,5688,7086,7157
353,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,4458,3166,5160,5160,5160
354,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,51000: Total EMPLOYEE BENEFITS,LABORERS INT'L PENSION,16526,13774,18200,18200,18200
355,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,53682,42929,45040,44736,47076
356,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,13617,10431,14501,15133,15284
357,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,51000: Total EMPLOYEE BENEFITS,LOCAL 1033 BENEFITS EXPENSE,13602,10396,13756,14560,15205
358,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,55162,36393,46520,53520,54590
359,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,52100: Total G&A SERVICES,FEES NOT CLASSIFIED,0,0,0,2400,2417
360,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,52100: Total G&A SERVICES,POSTAGE,1540,1819,1320,2000,2000
361,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,52100: Total G&A SERVICES,DUES & SUBSCRIPTIONS,80,0,240,0,0
362,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,52900: Total R&M EQUIPMENT,REPAIRS TO OFFICE EQUIPMENT,1221,0,0,240,242
363,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,52910: Total R&M OTHER,COPIERS LEASE AND MAINTENANCE,0,1678,2500,6400,6445
364,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,53500: Total OTHER SERVICES,MISC. EXPENSES,1531,433,3000,4320,4350
365,101: City General,EXPENSES,Miscellaneous Departments,101-903: Vital Statistics,54000: Total OFFICE SUPPLIES,STATIONERY,1452,1044,1190,1200,1208
366,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,50000: Total PERSONNEL SALARIES,SALARIES,288344,263749,319989,342944,346373
367,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,50000: Total PERSONNEL SALARIES,SALARIES-TEMPORARIES,43081,2934,43004,0,0
368,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,50000: Total PERSONNEL SALARIES,OVERTIME,35210,27572,40000,0,0
369,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,50000: Total PERSONNEL SALARIES,SICK LEAVE,9190,5263,0,0,0
370,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,50000: Total PERSONNEL SALARIES,VACATION,18995,9304,0,0,0
371,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,50000: Total PERSONNEL SALARIES,ELECTION OFFICIALS,221744,15819,225000,0,0
372,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,50000: Total PERSONNEL SALARIES,HOLIDAY,21325,16583,0,0,0
373,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,50000: Total PERSONNEL SALARIES,LONGEVITY,11506,7675,7907,8682,8769
374,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,6338,5645,6984,6984,6984
375,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,51000: Total EMPLOYEE BENEFITS,HEALTHCARE EE CASH PAYMENT,1500,1500,0,0,0
376,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,51000: Total EMPLOYEE BENEFITS,LABORERS INT'L PENSION,17956,14995,22750,22750,22750
377,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,98295,87827,89998,91512,96298
378,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,32119,24709,51087,28046,28326
379,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,51000: Total EMPLOYEE BENEFITS,LOCAL 1033 BENEFITS EXPENSE,14774,11318,20642,18200,19006
380,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,49770,55997,72950,82356,84003
381,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,52100: Total G&A SERVICES,FEES NOT CLASSIFIED,37087,35607,40000,40000,40280
382,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,52100: Total G&A SERVICES,POSTAGE,54045,32121,36000,36000,36000
383,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,52100: Total G&A SERVICES,ADVERTISING/MARKETING,17916,3444,30000,15000,15105
384,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,52100: Total G&A SERVICES,DUES & SUBSCRIPTIONS,4557,150,1500,1300,1309
385,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,52100: Total G&A SERVICES,PRINTING,0,4423,10000,10000,10070
386,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,52800: Total EQUIPMENT,MACHINERY & EQUIPMENT,1717,198,2500,1000,1007
387,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,53000: Total RENT OTHER,RENTAL OF LAND AND BUILDINGS,4538,0,6000,4700,4733
388,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,53010: Total RENT EQUIPMENT,RENTAL OF EQUIPMENT,2321,756,3000,3000,3021
389,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,53500: Total OTHER SERVICES,MISC. EXPENSES,1217,406,3000,3000,3021
390,101: City General,EXPENSES,Miscellaneous Departments,101-904: Board of Canvassers,54000: Total OFFICE SUPPLIES,STATIONERY,25049,4161,21250,11000,11077
391,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,50000: Total PERSONNEL SALARIES,SALARIES,319197,397498,435579,437334,441707
392,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,50000: Total PERSONNEL SALARIES,SALARIES-TEMPORARIES,6717,0,0,0,0
393,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,50000: Total PERSONNEL SALARIES,OVERTIME,6975,48,7000,7000,7000
394,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,50000: Total PERSONNEL SALARIES,SICK LEAVE,31070,10924,0,0,0
395,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,50000: Total PERSONNEL SALARIES,VACATION,25516,13923,0,0,0
396,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,50000: Total PERSONNEL SALARIES,HOLIDAY,18417,19469,0,0,0
397,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,50000: Total PERSONNEL SALARIES,LONGEVITY,7265,9648,9402,4754,4802
398,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,50000: Total PERSONNEL SALARIES,DIFFERENTIAL PAY,326,678,1368,1404,1404
399,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,50000: Total PERSONNEL SALARIES,ALTERNATIVE WORK WEEK,521,1086,1980,2040,2040
400,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,5352,5892,7584,7584,7584
401,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,51000: Total EMPLOYEE BENEFITS,HEALTHCARE EE CASH PAYMENT,0,1000,0,0,0
402,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,51000: Total EMPLOYEE BENEFITS,LABORERS INT'L PENSION,15096,19628,22750,22750,22750
403,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,85055,102314,128458,106608,112184
404,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,30852,33580,39212,35764,36122
405,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,51000: Total EMPLOYEE BENEFITS,AUTO ALLOWANCE,2259,0,0,0,0
406,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,51000: Total EMPLOYEE BENEFITS,LOCAL 1033 BENEFITS EXPENSE,12429,14814,17200,18200,19006
407,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,79869,74643,93611,109788,111984
408,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,52100: Total G&A SERVICES,FEES NOT CLASSIFIED,32281,25609,43000,30000,30210
409,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,52100: Total G&A SERVICES,POSTAGE,2490,1987,2500,2550,2550
410,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,52100: Total G&A SERVICES,ADVERTISING/MARKETING,39622,40618,45000,39000,39273
411,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,52100: Total G&A SERVICES,PRINTING,761,378,2000,1500,1511
412,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,52900: Total R&M EQUIPMENT,REPAIRS TO OFFICE EQUIPMENT,436,613,750,750,755
413,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,53200: Total PROFESSIONAL FEES,LEGAL EXPENSES,50450,37200,39000,30000,30000
414,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,53500: Total OTHER SERVICES,MISC. EXPENSES,411,0,500,900,906
415,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,54000: Total OFFICE SUPPLIES,OFFICE SUPPLIES,0,0,0,1800,1813
416,101: City General,EXPENSES,Miscellaneous Departments,101-905: Bureau of Licenses,54000: Total OFFICE SUPPLIES,STATIONERY,1197,1280,1400,0,0
417,101: City General,EXPENSES,Human Services,101-1309: Housing Authority,50000: Total PERSONNEL SALARIES,SALARIES,6585,7545,7836,8000,8000
418,101: City General,EXPENSES,Human Services,101-1309: Housing Authority,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,504,577,612,612,618
419,101: City General,EXPENSES,Human Services,101-1311: PERA,50000: Total PERSONNEL SALARIES,SALARIES,20471,86317,350501,425590,429846
420,101: City General,EXPENSES,Human Services,101-1311: PERA,50000: Total PERSONNEL SALARIES,SALARIES-TEMPORARIES,0,0,0,10000,10000
421,101: City General,EXPENSES,Human Services,101-1311: PERA,50000: Total PERSONNEL SALARIES,SICK LEAVE,0,0,0,0,0
422,101: City General,EXPENSES,Human Services,101-1311: PERA,50000: Total PERSONNEL SALARIES,VACATION,0,0,0,0,0
423,101: City General,EXPENSES,Human Services,101-1311: PERA,50000: Total PERSONNEL SALARIES,HOLIDAY,347,5662,0,0,0
424,101: City General,EXPENSES,Human Services,101-1311: PERA,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,93,378,1476,1476,1476
425,101: City General,EXPENSES,Human Services,101-1311: PERA,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,6016,26775,98580,27900,29359
426,101: City General,EXPENSES,Human Services,101-1311: PERA,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,1563,6908,29536,34470,34815
427,101: City General,EXPENSES,Human Services,101-1311: PERA,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,1791,7305,9281,10740,10955
428,101: City General,EXPENSES,Human Services,101-1311: PERA,52100: Total G&A SERVICES,POSTAGE,0,0,1500,2000,2000
429,101: City General,EXPENSES,Human Services,101-1311: PERA,52100: Total G&A SERVICES,ADVERTISING/MARKETING,0,0,6996,30000,30210
430,101: City General,EXPENSES,Human Services,101-1311: PERA,52100: Total G&A SERVICES,DUES & SUBSCRIPTIONS,0,0,0,1200,1208
431,101: City General,EXPENSES,Human Services,101-1311: PERA,52100: Total G&A SERVICES,PRINTING,0,0,0,10000,10070
432,101: City General,EXPENSES,Human Services,101-1311: PERA,53100: Total TRAVEL & ENTERTAINMENT,TRAVEL,0,0,6000,25000,25000
433,101: City General,EXPENSES,Human Services,101-1311: PERA,53400: Total CONTRACT SERVICES,PRIVATE CONTRACTORS,0,0,18000,40000,40280
434,101: City General,EXPENSES,Human Services,101-1311: PERA,53400: Total CONTRACT SERVICES,CONTRACTUAL SERVICES/OTHER SERVICES,0,0,0,10000,10000
435,101: City General,EXPENSES,Human Services,101-1311: PERA,53500: Total OTHER SERVICES,MISC. EXPENSES,1043,46807,50000,84000,84588
436,101: City General,EXPENSES,Human Services,101-1311: PERA,54000: Total OFFICE SUPPLIES,STATIONERY,0,0,3500,0,0
437,101: City General,EXPENSES,Human Services,101-1319: League of Cities & Towns,52100: Total G&A SERVICES,DUES & SUBSCRIPTIONS,24123,55032,50690,50960,51317
438,101: City General,EXPENSES,Human Services,101-906: Human Relations,50000: Total PERSONNEL SALARIES,SALARIES,33984,24032,52668,57037,57607
439,101: City General,EXPENSES,Human Services,101-906: Human Relations,50000: Total PERSONNEL SALARIES,SICK LEAVE,2046,1885,0,0,0
440,101: City General,EXPENSES,Human Services,101-906: Human Relations,50000: Total PERSONNEL SALARIES,VACATION,1957,2698,0,0,0
441,101: City General,EXPENSES,Human Services,101-906: Human Relations,50000: Total PERSONNEL SALARIES,HOLIDAY,2846,1745,0,0,0
442,101: City General,EXPENSES,Human Services,101-906: Human Relations,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,0,160,360,360,360
443,101: City General,EXPENSES,Human Services,101-906: Human Relations,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,11800,8390,14813,8748,9206
444,101: City General,EXPENSES,Human Services,101-906: Human Relations,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,3124,2266,4238,4366,4410
445,101: City General,EXPENSES,Human Services,101-906: Human Relations,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,0,3090,9281,4548,4639
446,101: City General,EXPENSES,Human Services,101-906: Human Relations,52100: Total G&A SERVICES,POSTAGE,240,0,0,0,0
447,101: City General,EXPENSES,Human Services,101-906: Human Relations,52100: Total G&A SERVICES,ADVERTISING/MARKETING,715,200,120,450,453
448,101: City General,EXPENSES,Human Services,101-906: Human Relations,52100: Total G&A SERVICES,PRINTING,810,0,0,0,0
449,101: City General,EXPENSES,Human Services,101-906: Human Relations,52100: Total G&A SERVICES,PROGRAM EXPENSE,0,743,13000,22100,22100
450,101: City General,EXPENSES,Human Services,101-906: Human Relations,52700: Total TRAINING & DEVELOPMENT,TRAINING,0,240,1000,4500,4500
451,101: City General,EXPENSES,Human Services,101-906: Human Relations,52880: Total OTHER CAPITAL EXPENSES,MISC PROJECT EXPENSE,74,0,0,0,0
452,101: City General,EXPENSES,Human Services,101-906: Human Relations,53400: Total CONTRACT SERVICES,CONTRACTUAL SERVICES,0,10631,15000,23500,23665
453,101: City General,EXPENSES,Human Services,101-906: Human Relations,53500: Total OTHER SERVICES,MISC. EXPENSES,4228,1912,0,0,0
454,101: City General,EXPENSES,Human Services,101-906: Human Relations,54000: Total OFFICE SUPPLIES,OFFICE SUPPLIES,0,0,0,450,453
455,101: City General,EXPENSES,Human Services,101-906: Human Relations,54000: Total OFFICE SUPPLIES,STATIONERY,150,166,0,0,0
456,101: City General,EXPENSES,Human Services,101-906: Human Relations,54700: Total OTHER SUPPLY,FOOD,736,518,1400,1400,1410
457,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",50000: Total PERSONNEL SALARIES,SALARIES,285620,323815,301636,370109,373810
458,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",50000: Total PERSONNEL SALARIES,SALARIES-TEMPORARIES,0,0,2000,2000,2000
459,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",50000: Total PERSONNEL SALARIES,OVERTIME,16961,7677,19000,19000,19000
460,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",50000: Total PERSONNEL SALARIES,SICK LEAVE,11547,8249,0,0,0
461,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",50000: Total PERSONNEL SALARIES,VACATION,24035,13143,0,0,0
462,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",50000: Total PERSONNEL SALARIES,HOLIDAY,23511,24006,0,0,0
463,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",50000: Total PERSONNEL SALARIES,LONGEVITY,4433,4491,5103,6540,6605
464,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,3473,3925,4332,4332,4332
465,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",51000: Total EMPLOYEE BENEFITS,HEALTHCARE EE CASH PAYMENT,2000,2000,0,0,0
466,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,98077,113900,93036,118680,124887
467,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",51000: Total EMPLOYEE BENEFITS,F.I.C.A.,26335,27369,30179,31340,31653
468,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,56551,63318,77420,93132,94995
469,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",52100: Total G&A SERVICES,POSTAGE,60,0,300,300,300
470,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",52100: Total G&A SERVICES,ADVERTISING/MARKETING,3489,8684,10500,10500,10574
471,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",52100: Total G&A SERVICES,DUES & SUBSCRIPTIONS,6600,5950,3700,6500,6546
472,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",52100: Total G&A SERVICES,PRINTING,9296,1300,6000,6000,6042
473,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",52100: Total G&A SERVICES,TRANSPORTATION,6860,1531,3700,900,906
474,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",53010: Total RENT EQUIPMENT,RENTALS NO CLASSIFIED,22155,8676,51100,51100,51458
475,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",53400: Total CONTRACT SERVICES,CONTRACTUAL SERVICES/OTHER SERVICES,766197,700644,781250,800000,800000
476,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",53500: Total OTHER SERVICES,MISC. EXPENSES,6276,61260,5000,5000,5035
477,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",54000: Total OFFICE SUPPLIES,OFFICE SUPPLIES,0,0,0,700,705
478,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",54000: Total OFFICE SUPPLIES,STATIONERY,148,765,700,0,0
479,101: City General,EXPENSES,Human Services,"101-916: Arts, Culture, Film, & Tourism",55000: Total OTHER EXPENDITURES,GRANT EXPENDITURES,128769,149217,150000,165000,165000
480,101: City General,EXPENSES,Human Services,101-917: Human Services,50000: Total PERSONNEL SALARIES,SALARIES,160256,149872,331294,394416,398360
481,101: City General,EXPENSES,Human Services,101-917: Human Services,50000: Total PERSONNEL SALARIES,SICK LEAVE,4906,7221,0,0,0
482,101: City General,EXPENSES,Human Services,101-917: Human Services,50000: Total PERSONNEL SALARIES,VACATION,14543,12809,0,0,0
483,101: City General,EXPENSES,Human Services,101-917: Human Services,50000: Total PERSONNEL SALARIES,HOLIDAY,10399,14924,0,0,0
484,101: City General,EXPENSES,Human Services,101-917: Human Services,50000: Total PERSONNEL SALARIES,LONGEVITY,1829,4074,6790,4401,4445
485,101: City General,EXPENSES,Human Services,101-917: Human Services,51000: Total EMPLOYEE BENEFITS,DENTAL INSURANCE,2873,3918,3348,3348,3348
486,101: City General,EXPENSES,Human Services,101-917: Human Services,51000: Total EMPLOYEE BENEFITS,HEALTHCARE EE CASH PAYMENT,0,1000,1000,0,0
487,101: City General,EXPENSES,Human Services,101-917: Human Services,51000: Total EMPLOYEE BENEFITS,CITY OF PROVIDENCE PENSION EXPENSE,54229,77264,83875,80508,84719
488,101: City General,EXPENSES,Human Services,101-917: Human Services,51000: Total EMPLOYEE BENEFITS,F.I.C.A.,13565,18820,25688,26650,26917
489,101: City General,EXPENSES,Human Services,101-917: Human Services,51000: Total EMPLOYEE BENEFITS,TRANSFER TO ACTIVE MEDICAL INS FUND,43123,55703,74490,81924,83562
490,101: City General,EXPENSES,Human Services,101-917: Human Services,52100: Total G&A SERVICES,POSTAGE,0,0,500,500,500
491,101: City General,EXPENSES,Human Services,101-917: Human Services,52100: Total G&A SERVICES,ADVERTISING/MARKETING,80,0,18250,20700,20845
